,job_title,salary_estimate,midpoint_salary_estimate,job_description,company_name,location,size,type_of_ownership,industry,min_years_exp
0,Information Security and Data Protection Analyst,$28K-$52K (Glassdoor est.),40000,"Amyx is seeking to hire an Information Security and Data Protection Analyst to support the Defense Logistics Agency in the Columbus, OH area.

Handling Remedy Work Orders. This means experience using and generating Remedy tickets. Track their own work and the work of others through Remedy.
Tasking Duties. Experience and comfort tasking out work to be members of the same team and/or to different teams. Being able to track their own work, as well as the work of others will be important.
Hitting deadlines and juggling multiple projects at a time. Being able to prioritize work so that frequently occurring assignments are meeting Service Level Agreement (SLA) deadlines.
Capturing and collecting web activity reports and log-in/log-out reports.
Decrypting, in-bulk, Outlook data in a Public Key Infrastructure (PKI). This includes data
Forensically collecting Electronically Stored Information (ESI) for legal purposes by maintaining data integrity. Collecting data so that it can be reviewed by legal teams for potential or impending litigation will be a main task. This will require extensive use of Robocopy for metadata preservation.
Knowing and using Data Loss Prevention (DLP) industry best practices. This includes using both tools and techniques well-known in the industry.
Identifying and protecting Personally Identifiable Information (PII) on the network that requires securing.
The ability to become a Key Recovery Agent (KRA) in a PKI.
Supported Technologies:
Zeva Inc.’s Decryptnabox
Robocopy, ArcSiteLogger
ForcePoint, Remedy

Required Skills and Qualifications:
Bachelor’s degree in Information Technology, Computer Science or another directly relatable field.
5+ years of work experience in a related field.
Technical versatility and organization is a must
Security+ Certificate
Desired Skills and Qualifications:
CISSP or similar certification preferred (CISM, GSEC, etc.)
Department of Defense and PKI experience preferred
Office 365 experience would be a plus
Amyx is an Equal Opportunity employer. Amyx is committed to providing equal employment opportunity to all job seekers. Every qualified applicant receives focused consideration for employment and no one is discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status. In addition to federal law requirements, Amyx complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Equal Opportunity Employer- Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity. Amyx is an E-Verify employer.

Amyx proudly and proactively takes affirmative action to advance employment of individuals who are minorities, women, protected veterans and individuals with disabilities.


Physical Demands

Employee needs to be able to sit at a workstation for extended periods; use hand(s) to handle or feel objects, tools, or controls; reach with hands and arms; talk and hear. Most positions require ability to work on desktop or laptop computer for extended periods of time reading, reviewing/analyzing information, and providing recommendations, summaries and/or reports in written format. Must be able to effectively communicate with others verbally and in writing. Employee may be required to occasionally lift and/or move moderate amounts of weight, typically less than 20 pounds. Regular and predictable attendance is essential.","Amyx, Inc.
4.0","Columbus, OH",501 to 1000 employees,Company - Private,IT Services,5
1,Data Analyst,$76K-$122K (Glassdoor est.),99000,"Job Description
The Customer Engineering Operations team in San Diego is devoted to the support of our internal Engineering personnel as well as our External Customers. This position will be based in San Diego and working in the Customer Engineering Operations team supporting all data analysis activities. Candidate will be responsible for working with a number of different systems to track, report, data mine, and ascertain critical business trends and perform necessary analysis as needed for NRE and non-NRE headcount, budget, third party and IoT business activities. This individual will work via email and telephone with the Ops teams across several countries and must have good writing and verbal skills. Use of multiple business intelligence tools to track and assemble reports for end users. Creation and development of Reports/Dashboards and carrying out statistical analysis and trend analysis of data. Creation of annual billing reports per agreements as needed. Close partnership with the San Diego Ops team for the creation of Salesforce Projects as needed and to capture customer support efforts. Working with IT to troubleshoot day to day end user issues with reporting tools (Salesforce/Qlikview). Candidate will use Excel and Powerpoint skills and should be highly detail oriented.

Minimum Qualifications:
Bachelor's in Electrical Engineering or Computer Science Knowledge of ThoughtSpot and Qlikview tools Expert level knowledge in MS Office, including mastry in Excel (current versions) and MS Powerpoint Proven experience working with Big Data and able to provide customized BI solutions Experience working with data analysis, including driving needs gathering, documentation creation and reporting Salesforce Dashboards and Reporting expertise Salesforce Dashboards and Reporting expertiseSalesforce Dashboards and Reporting expertise

Preferred Qualifications:
MBA with Engineering or Computer Science Degree (MSEE, MSCS, BSEE) -Experience in creating Statement of Work for Engineering Projects -Knowledge of Salesforce
Education:
Strongly preferred: Bachelor's, Computer Science and/or Electrical Engineering
Preferred: Master's, Business Administration and/or Computer Science and/or Electrical Engineering

Duration: 12 months+","ProMedia
4.4","San Diego, CA",1 to 50 employees,Company - Private,Advertising & Marketing,NA
2,Bilingual Senior Data Analyst (Japanese / English),$55K-$101K (Glassdoor est.),78000,"Nintendo of America Inc.

The worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets hardware and software for its Nintendo Switch(c) system and the Nintendo 3DS(c) family of portable systems. Since 1983, when it launched the Nintendo Entertainment System(c), Nintendo has sold more than 4.7 billion video games and more than 740 million hardware units globally, including Nintendo Switch and the Nintendo 3DS family of systems, as well as the Game Boy(c), Game Boy Advance, Nintendo DS(c) family of systems, Super NES(c), Nintendo 64(c), Nintendo GameCube(c), Wii(c) and Wii U(c) systems. It has also created industry icons that have become well-known, household names, such as Mario, Donkey Kong, Metroid, Zelda and Pokemon. A wholly owned subsidiary, Nintendo of America Inc., based in Redmond, Wash., serves as headquarters for Nintendo's operations in the Americas. For more information about Nintendo, please visit the company's website at http://www.nintendo.com.

DESCRIPTION OF DUTIES
Provides descriptive, diagnostic, predictive and prescriptive analytics.
Conducts advanced data analysis on testing projects using leading analytical, statistical, and qualitative techniques.
Performs data mining, trend/predictive analysis and statistical analysis to generate research outcomes.
Interprets and communicates complex research outcomes and provides understandable recommendations to game developers through written, verbal, and visual methods.
Creates reporting that is used to generate data driven stories that inform and influence game developers, QA testing companies, and internal stakeholder teams
Utilizes problem solving methodology to identify root causes and recommend alternative options to deliver high quality games.
Works with various stakeholders across the globe to gather data from proprietary systems.
Utilizing data visualization techniques which will influence key decisions.
Communicates effectively cross culturally.
Assists in the design and deployment of database table structures, reports, queries, and communicates functional and technical issues.
Creates and maintains comprehensive documentation on analyses and methodologies.
Assists supervisor with projects.
May provide project coordination support upon request.
SUMMARY OF REQUIREMENTS
Minimum 5 years' experience in a hands-on analytical role with focus predictive and prescriptive analysis
A minimum of 3 years' work experience involving data manipulating, data visualization, query and report writing.
Strong business acumen and proven track record of driving positive business change with data story telling
Proficient in Microsoft Excel(R), Power point, SQL, and data visualization tools such as Tableau.
Excellent organizational and project management skills
Experience in video game testing
Knowledge of video games
Undergraduate degree in Research, Statistics, Engineering, or related field preferred
Project Management certification preferred
Passport required
We are an equal opportunity employer of individuals with disabilities and protected veterans....valuing diversity...celebrating strengths.","Nintendo
4.0","Redmond, WA",5001 to 10000 employees,Company - Public,Video Games,3
3,"Sr. Data Analyst, Ad Operations",$57K-$103K (Glassdoor est.),80000,"System1 is looking for a driven data analyst with the ability to work with our Ad Operations team. As a member of this data analysis team, you will drive System1’s analytics initiatives forward, provide insights into our business operations, and work with the product team to spearhead data-driven decisions.
The Role You Will Have
The data expert: be familiar with the full life-cycle of all data at System1 - from data collection to processing to analytics
The “insight” person: leverage data to discover and validate areas of opportunities, and identify the metrics to measure success
The translator: guide business stakeholders in reading into the data, and facilitate the communication between business and tech teams
The mentor: provide support to the junior members and establish data best practices for the AdOps team
What You Will Bring
3+ years of relevant full-time work experience
Bachelor’s in Computer Science or other quantitative subject (mathematics, economics, finance, or statistics) preferred
Strong SQL & Python skills a plus
Experience in big data tools a plus
What We Have to Offer
Free Uber/Lyft to and from work every day!
Collegial and collaborative team with highly intelligent and motivated coworkers
Cross-team lunches and demos to foster learning
Unlimited Paid Sick Time, Competitive PTO and Benefits package
Daily catered meals and fully stocked kitchen
Bi-weekly happy hour at various bars, restaurants, and venues across Los Angeles
Bi-weekly onsite happy hour
Catered dinner on Tuesdays and Thursdays
Weekly fitness class with private trainer: high intensity training, yoga, beach volleyball, beach soccer, ultimate frisbee
Company parties and outings: Skyzone indoor skydiving, Medieval Times, Karaoke, etc.","System1
3.8","Venice, CA",201 to 500 employees,Company - Private,Internet,3
4,Data Analyst,$43K-$69K (Glassdoor est.),56000,"Job Title: Data Analyst (1)

Position Type: Contractual

Location: Norfolk, VA

Education: N/A

Security Clearance: Secret Clearance Eligible

Required Experience: 5 years professional experience.

Required Specialized

Experience: U-NNPI, P-OMMS and CSMP

Preferred Specialized

Experience: Maintenance and modernization of Navy ships

Note: This position supports a proposal response which will be awarded approximately August 2020 and will be a 5 year term.

This position will assist government personnel in the area of human research protection, providing assistance with calendars, domestic and foreign travel, presentations, ocial correspondence, compiling read ahead material and visit requests.

Job Duties:

• Provide technical support for the development and management of the nuclear CMP and BAWPs and propulsion plant modernization. Requires coordination with various internal and external activities such as NAVSEA, Type Commander (TYCOM), Naval Supervising Activities (NSA), RPPY, PPPY, PPEA, Industrial Activities and Ship's Force;

• Review of Current Ship's Maintenance Project (CSMP) data to support advance planning efforts, CMP refinement and budget development;

• Identify and remove U-NNPI information from aircraft carrier P-OMMS CSMP files;","Bluemont Technology & Research, Inc.
1.0","Norfolk, VA",1 to 50 employees,Company - Private,-1,5
5,Senior Data Analyst,$76K-$122K (Glassdoor est.),99000,"Description:

Born digital, Axos Bank has reinvented the banking model and grown to nearly $11.8 billion in assets since our founding in 2000. With a broad and ever-growing range of financial products, Axos Bank is rated among the top 5 digital banks in the country! Axos Financial is our holding company and publicly traded on the New York Stock Exchange under the symbol ""AX (NYSE: AX).

Click here to go to our web site and learn more about Axos Bank and what it's like to work with us!

We bring together human insight and digital expertise to anticipate the needs of our customers. Our team members are innovative, technologically sophisticated, and motivated to achieve.
Partner with different GRC functional areas to define and implement Data Driven Compliance reporting, dashboards and analytics
Proactively identify additional areas of opportunity to enhance analytics, reporting and governance. Where needed, creates new data analytics including the analysis of metrics, and risk assessment results
Identify opportunities to automate processes for Compliance monitoring tool optimization and efficiencies
Design, develop, and implement automated processes, in workflow/forms-based products, to improve existing practices and address new business requirements
Participate in model tuning, and independent model validation(s) in accordance with the Bank's Model Risk Management Policy
Lead and Support advance reporting, Technical/Business audit requests, and data collection
Utilize expertise to gather pertinent data and perform regression and other statistical analyses to help identify meaningful data relationships, Key Risk Indicators
Analyze high-volume data to investigate, identify, and report trends linked to Deposits/ Lending compliance regulatory exceptions
Lead and Perform other risk -or regulatory-related assignments or special projects as needed
Serve as project support and project lead on various Enterprise wide strategic, operational, credit, and/or risk related initiatives
Key Skill Sets or Knowledge Requirements:
Advance level competency in creating complex SQL queries involving multiple-table joins, union, sub-queries, CTE, temporary tables, outer apply/cross apply
Strong Microsoft Excel, PowerPoint, Visio and other Office products
Comfortable interfacing with senior management and/or non-technical members of the team
Excellent written and verbal communication
Strong technical skills with project management capabilities
Proficiency in Tableau, Python, and/or R, or willingness to learn these programs
Desired Career Experience & Education Requirements:
4+ years' SQL (writing and optimizing SQL queries, customizing SQL reports to support business requirements and to analyze the data)
Create advanced reporting and analysis through Microsoft SQL Server Report Builder and Tableau or other BI tools
2+ years' financial services, understanding of core banking products
Bachelor's degree
Preferred:
Workflow Development/optimization
Apply directly for consideration as we are not using any outside agencies for any of our openings

Pre-Employment Drug Test:

All offers are contingent upon the candidate successfully passing a credit check, criminal background check, and pre-employment drug screening, which includes screening for marijuana. Axos Bank is a federally regulated banking institution. At the federal level, marijuana is an illegal schedule 1 drug; therefore, we will not employ any person who tests positive for marijuana, regardless of state legalization.

Equal Employment Opportunity:

Axos Bank is an Equal Opportunity employer. We are committed to providing equal employment opportunities to all employees and applicants without regard to race, religious creed, color, sex (including pregnancy, breast feeding and related medical conditions), gender, gender identity, gender expression, sexual orientation, national origin, ancestry, citizenship status, military and veteran status, marital status, age, protected medical condition, genetic information, physical disability, mental disability, or any other protected status in accordance with all applicable federal, state and local laws.

Job Functions and Work Environment:

While performing the duties of this position, the employee is required to sit for extended periods of time. Manual dexterity and coordination are required while operating standard office equipment such as computer keyboard and mouse, calculator, telephone, copiers, etc.

The work environment characteristics described here are representative of those an employee may encounter while performing the essential functions of this position. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position.

Options","Axos Bank
3.4","San Diego, CA",1001 to 5000 employees,Company - Public,Banks & Credit Unions,4
6,Data Reporting Analyst,$50K-$86K (Glassdoor est.),68000,"Job Description
Job Description:

Role: Data reporting & Analytics Administrator

Location: Fort Worth, TX

Job type: Fulltime

Responsibilities:
We are currently looking for Data Reporting Analytics Administrator for our expanding IT department.
Setup Einstein Analytics Studio, set up the data flows to automatically import selected objects to datasets from Salesforce and MS SQL Databases, build the recipes and Lens to analyze the data and publish the stories in the form of recommendations back into Salesforce
Develop visualization dashboards of data using Einstein Analytics and standard Salesforce dashboards
Prepare daily, weekly, monthly, quarterly, and annual reporting
Perform data and system analysis to support broader oversight processes within a functional area. In addition, this role provides reporting and insight to guide business decisions and initiatives, while maintaining a high level of data integrity
Provide insights based on findings and making recommendations based on strategic understanding of the data collected through analysis of business intelligence
Assess current reporting capabilities and help drive strategic innovation and evolution for improvement on performance reporting
Drive consistency in the application of data as a management system through standardized reporting and analysis
Support requirements for new reports and dashboards, creates actionable insight and understanding, through the analysis of both quantitative and qualitative data and provide recommendations that address business objectives
Interact with external vendors to extract, interpret, and communicate data
Interpret and measure the impact of business actions, including process and system enhancements
Leverage the development of new data sources to provide new perspectives of performance and identify new opportunities for continuous improvement
Work with large data volumes and combine data from disparate sources into concise structures
Verify data capture, identify and resolve data quality issues discovered during insights and reporting process
Build models to conduct high-quality business, market, and competitor analysis; and help identify and assess existing and new market initiatives
Required experience/Education:
3-7 years of experience (2 years minimum or relevant experience in the role)
BS in Computer Science or related field preferred
Salesforce Einstein Analytics & SAQL (Salesforce Analytics Query Language)
UI and/or Data Visualization experience; any exposure to other data visualization tools such as Microsoft PowerBI or Tableau would be a considerable
MS SQL server RDBMS knowledge and experience – Database design, SQL/T-SQL Queries, Views, and Stored Procedures
Salesforce Certified Administrator is a plus.
Salesforce Certified Analytics Discovery Consultant is a plus.","E Business International
3.1","Fort Worth, TX",51 to 200 employees,Company - Private,IT Services,3
7,Data Analyst,$93K-$159K (Glassdoor est.),126000,"Summary:

The Marin City Health and Wellness Center’s (MCHWC) Data Analyst will support an ongoing analysis of health data information. He/she and is responsible for developing and implementing data information systems to obtain, verify, and prepare data information to support healthcare programs, state and federal mandated reports, grant related activities, quality improvement, and other ad hoc reporting needs. The Data Analyst is also responsible to support, coordinate, and ensure clinic staff is trained on all reporting tools as needed.

Essential Duties and Responsibilities:
Work with the Quality Improvement and Risk Manager in developing and implementing systems to obtain, verify and prepare data information
Enter data into spreadsheets and web-based reporting tools as needed
Develop tables, graphs and reports
Organize data and reports for compliance, quality improvement, and program development
Track and report on key performance and quality improvement measures
Update the inventory of reporting metrics and quality improvement measures associated with organizational priorities and grant requirements
Maintain access to Clinic’s electronic health records (EHRs) and health center reporting tools
Support, coordinate, and ensure training of staff on data validation and reporting tools as needed
Perform other duties as directed, developed, or assigned
Supervisory Responsibility: N/A

Qualification Requirements:

Education and/or Experience:
Bachelor’s degree in computer science, public health or a field that requires research and strong analytical skills; or the equivalent professional experience
Minimum of 2 years work related experience in healthcare
Experience analyzing data in a healthcare environment
Outstanding presentation, verbal and written communication skills
Ability to express complex technical and analytical concepts to non-technical management
and staff.
Able to multi-task in a dynamic fast paced environment with minimal supervision
Advanced understanding of HIPAA.
Basic database or SQL knowledge
Proficient computer skills and Microsoft Office, including pivot tables/excel, word, power point, Outlook, etc.
Strong organization skills and attention to detail
Language Skill:
Must possess excellent organization, writing, and verbal skills
English proficiency required; Spanish proficiency preferred
Reasoning ability:
Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form.
Equipment/Machinery: Fax machine, copier, personal computer, telephone, calculator, Microsoft Word/Excel, EHR system, and other software as required.

Physical Demands: The physical demands described here are representative of those that must be met by an individual to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Stand and walk or sit alternatively depending on specific needs of day. Estimate 20% of time is spent on feet and 80% sitting at desk.
Have occasional need to perform the following physical activities: bend/stoop/squat, climb stairs, push or pull, reach above shoulders.
Have occasional need to perform standing and walking activities.
Constant need to perform the following physical activities: writing/typing, grasping/turning, finger dexterity.
Lifting/carrying over 10 pounds occasionally. Lifting/carrying less than 10 pounds frequently.
Vision requirements: constant need to complete forms, read reports, view computer screen. Frequent need to see small detail. Frequent need to see things clearly beyond arm's reach.
Hearing requirements: constant need to communicate over telephone and in person.
Travel Requirements: Local travel to multiple MCHWC locations required. Occasional travel for training, seminars, etc.

Work Environment:

The noise level in the work environment is usually moderate.

Benefits: We currently offer 100% premium paid Medical and Dental benefits (**employee coverage only), 403(b) plan plus financial advisors, $1500.00 CE Benefits annually plus up to five days paid off for continuing education, up to $500 reimbursed for professional license fees and certifications required to serve and treat our patients, 9 paid holidays, 80 hours PTO for 1st through 2nd year of employment (increasing to 120 hours 3rd year of employment).

Marin City Health and Wellness Center is an approved National Health Service Corps site.","Marin City Health and Wellness Center
4.5","Marin City, CA",1 to 50 employees,Nonprofit Organization,Health Care Services & Hospitals,2
8,Data Analyst-Senior Data Analyst,$51K-$93K (Glassdoor est.),72000,"POSITION: Data Analyst / Senior Data Analyst

FUNCTION: Medical Affairs

LOCATION: Redwood City, CA

POSITION SUMMARY: The Data Analyst / Senior Analyst will be responsible for designing and delivering advanced quantitative data analyses to support the various aspects of clinical development, medical communications and the development and progression of the Medical Affairs narrative. The Analyst will:
Work with internal partners to understand and address critical issues
Perform complex data analyses in support of both ongoing and ad-hoc projects
Support the process of evidence generation
Conduct analyses to support scientific and medical publications
Develop presentation material to succinctly and effectively communicate the output of these analyses for internal and external audiences
This role requires advanced technical skills, experience working with large datasets (EMR, clinical trial data, data cleaning and building analysis models, etc.) and demonstrated ability to derive actionable insights from quantitative data analyses.

PRIMARY RESPONSIBILITIES:

Apply strong technical/analytical expertise to analyze data, understand complexities, and generate reports/presentations, including use of analytical databases/tools like Microsoft Excel and statistical and visualization programs (GraphPad, Tableau, etc.)
Ensure consistency of analytic techniques and delivery against data review requirements
Develop framework for post-hoc analyses to streamline delivery of data to internal stakeholders
Interpretation of data and understanding of implications in order to generate insights and answer a variety of business questions
Partner with Clinical and Medical Affairs teams to spearhead end-to-end data releases and plan for analysis of data
Facilitate data communications and prioritize areas of further analysis
Excellent communication skills, both written and verbal with strong attention to quality control
QUALIFICATIONS & EXPERTISE:

Bachelors degree in statistics, bioinformatics, computer science, engineering, math, business, life sciences or equivalent field. Masters degree preferred.
Preferred 2+ years of experience in management consulting, investment banking, data analytics or similar roles in biotech / pharma / finance / consulting
Proven analytical background, and the ability to simplify complex insights and findings to business partners through compelling communication and presentation skills
Extensive experience with PowerPoint presentations in consulting or banking preferred. Experience creating data slides with embedded data charts is preferred
Expertise in Excel is required to conduct complex data analysis (e.g., INDEX, MATCH, LOOKUP, AVERAGEIFS, COUNTIFS functions, etc.). Experience with advanced database manipulation tools and/or statistical programs (GraphPAD, SAS, R, etc.) is preferred
Demonstration of successful execution in a fast-paced environment managing multiple priorities
Team player with strong interpersonal, collaboration and communication skills
This position is located in Redwood City, CA.

The salary is competitive and commensurate with experience and qualifications.

Please apply to careers@allakos.com

Allakos is an equal opportunity employer. Allakos will consider all qualified applicants for employment without discrimination on grounds of disability, sex or sexual orientation, pregnancy or maternity leave status, race or national or ethnic origin, age, religion or belief, gender identity or re-assignment, marital or civil partnership status, protected veteran status (if applicable) or any other characteristic protected by law.",Allakos,"Redwood City, CA",51 to 200 employees,Company - Public,-1,2
9,Administrative Assistant / Data Analyst Supporting the DEA #20-318,$76K-$122K (Glassdoor est.),99000,"Salary:
Published Job Title:
Administrative Assistant / Data Analyst Supporting the DEA

Requisition::
20-318

Worksite::
DEA

Position Schedule::
Full-time

Description::

Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

Focused on delivering unsurpassed services in support of law enforcement and homeland security, FSA, a rapidly growing joint venture owned by trusted solutions providers SAIC and Amentum, has a vacancy for a Data Analyst/Driver Messenger. In this role, you will be supporting the overall mission of the Drug Enforcement Administration (DEA).

Responsibilities
Receives, gathers, and organizes information from multiple sources.
Ensures completeness of received information and reconciles inconsistencies.
Accurately enters required data into one or more databases, documents, or spreadsheets.
Establishes and maintains physical files.
Keeps track of case file status in order to ensure compliance with established deadlines.
Coordinates requests for additional information as needed.
Selects relevant information form a variety of sources in order to prepare documents, reports, summaries, and replies to inquiries, ensuring accuracy and proper format of the information provided.
Provides accurate and timely status updates.
May be required to occasionally perform driver and messenger activities. This can include operation of Government vehicles or Contractor vehicles in performance of contract requirements and seized conveyances in the custody of the Government.
Delivers messages, documents, packages, and mail to business concerns or Government offices. Can also include delivery of seized assets (including high value and confidential) in accordance with approved Government requirements.
Maintains logs for received and delivered items.
Performs other duties as assigned.
Requirements::

Requirements
High School diploma or GED, Undergraduate degree preferred
Possess a valid driver's license and have a safe driving record
Ability to grasp and understand the organization and functions of the customer
Meticulous data entry skills
Excellent communication skills; oral and written
Competence to review, interpret, and evaluate complex legal and non-legal documents
Attention to detail and the ability to read and follow directions is extremely important
Strong organizational and prioritization skills
Experience with the Microsoft Office suite of applications (Excel, PowerPoint, Word) and other common software applications, to include databases, intermediate skills preferred
Proven commitment and competence to provide excellent customer service; positive and flexible
Ability to work in a team environment and maintain a professional disposition
This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation

Agency Overview

The Drug Enforcement Administration (DEA) is responsible for conducting national and international investigations targeting global drug trafficking networks and drug-related terrorism involved in the illegal growing, manufacturing, or distribution of controlled substances appearing in or destined for illicit traffic in the United States. A component of DEA's strategic mission is the use of the Asset Forfeiture Program, implementing major investigative strategies against drug networks and cartels, resulting in significant seizure and forfeiture activities.

Shift Schedule::
Normal business hours

EEO Statement::
Forfeiture Support Associates (FSA) LLC is proud to be an Affirmative Action/ Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualified persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity) veteran status, family leave status, and any protected group status as defined by applicable law.

FSA Internal Use Only::","Forfeiture Support Associates
2.8","San Diego, CA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,NA
